Filename,Category,Description
batch1-0500.jpg,Home Furnishings,"seller: client: carrillo, lara and hooper ellis and sons usnv jones 85942 tucker plains apt. 982 fpo ae 13513 hernandezchester, sc 88596 items no. description qty um net price net worth vat [%] gross worth ils pack 3 artificial sheepskin seat 1,00 each 14,22 14,22 10% 15,64 pads 30cm round pad floor area carpets 2. soft sheepskin mat faux fur 2,00 each 8,40 16,80 10% 18,48 rug small shaggy non slip floor carpet yellow oo chindi rugs carpet new design 4,00 each 29,99 119,96 10% 131,96 bohemian garden yoga mat indian kilim coverlet 4. yilong 9'x12' oversize 4,00 each 7 800,00 31 200,00 10% 34 320,00 handmade silk carpet antistatic luxurious area rug tj107a summary vat [%] net worth vat gross worth 10% 31 350,98 3 135,10 34 486,08 total $ 31 350,98 $ 3 135,10 $ 34 486,08"
cler,Technology,"seller: wood-kim 8881 nicholas grove west andrewshire, wa 71685 items no. description qty 1. nintendo 64 console plus 2 3,00 games barely played with in partial original box summary vat [%] 10% total um each 07/29/2011 client: thompson plc 810 adkins canyon kristinton, nd 66973 net price net worth vat [%] 49,99 149,97 10% net worth vat 149,97 15,00 $ 149,97 $ 15,00 gross worth 164,97 gross worth 164,97 $ 164,97"
batch1-0502.jpg,"Transportation, Utilities, Technology","seller: hall-martinez 3197 jillian forks suite 115 kimchester, hi 43821 items no. description ae nintendo gamecube console dol-001 black w/ controller, power, a/v, summary total 12/24/2012 client: haynes-woods usnv gilbert fpo ap 32645 qty um net price net worth vat [%] gross worth 5,00 each 79,99 399,95 10% 439,95 vat [%] net worth vat gross worth 10% 399,95 40,00 439,95 $ 399,95 $ 40,00 $ 439,95"
batch1-0503.jpg,"Food & Dining, Transportation, Office Supplies, Utilities","seller: hensley, harrison and miller 9983 gonzalez shoal suite 223 jeffreyberg, nd 71223 items no. description qty ils selmash lux home alcohol 4,00 distiller kit for wine brewing, 15 20 301 2. rabbit wine bottle opener 1,00 corkscrew set with foil cutter a frosted satin wine goblet 2,00 glasses crooked stem set of 3 4. 2 hand blown wine water 4,00 goblet glass art mexico pulled feather iridescent swirl 5, 50l/70l moonshine still home 5,00 alcohol oil distiller wine making water brew kit summary vat [%] 10% total 12/21/2015 um eacn eacn eacn eacn eacn client: peters llc 27910 lindsey inlet port martinside, nm 22708 net price net worth vat [%] gross worth 157,90 631,60 10% 694,76 12,00 12,00 10% 13,20 32,00 64,00 10% 70,40 29,99 119,96 10% 131,96 324,33 1 621,65 10% 1 783,81 net worth vat gross worth 2 449,21 244,92 2 694,13 $ 2 449,21 $ 244,92 $ 2 694,13"
batch1-0504.jpg,"Office Supplies, Technology","seller: client: anderson, gentry and williams bradley-daniel 1469 theresa grove 26018 erica mission suite 050 garzaberg, ny 16415 new scottborough, ny 56048 items no. description qty um net price net worth vat [%] gross worth ils hp prodesk g1 desktop 4,00 each 119,95 479,80 10% 527,78 computer core i3 3.4ghz 8gb 500gb hd 19"" lcd windows 10 pc 2. dell optiplex sff desktop 5,00 each 89,99 449,95 10% 494,95 computer windows 10 4gb 160gb a dell desktop computer{jintel 2,00 each 69,95 139,90 10% 153,89 core 2 duo 8gb 1tb hd qwindows 10 pc 22"" lcd wifi summary vat [%] net worth vat gross worth 10% 1 069,65 106,97 1176,62 total $ 1 069,65 $ 106,97 $1176,62"
batch1-0505.jpg,"Food & Dining, Office Supplies","seller: weaver-barber 60902 steven trace tylerland, ma 82522 items no. description qty 1. stemware rack display kitchen 5,00 wine glass holder bottle carbon steel free punch 2. refinery wine opener 5,00 by wine glasses goblets pair clear 5,00 glass 4. unicorn wine bottle display 2,00 summary vat [%] 10% total 03/07/2014 um each each each each client: scott ltd 6958 ramirez crest mooremouth, nj 37424 net price 42,32 10,00 12,00 15,85 net worth 353,30 $ 353,30 net worth vat [%] 211,60 10% 50,00 10% 60,00 10% 31,70 10% vat 35,33 $ 35,33 gross worth 232,76 55,00 66,00 34,87 gross worth 388,63 $ 388,63"
batch1-0506.jpg,"Office Supplies, Technology","seller: norman-best 5217 morris mountain apt. 600 north danielshire, mi 66538 items no. description qty ils nintendo gameboy pocket 3,00 console clear purple with box mgb-001 japan tested 53 2. huge sony playstation 3 5,00 console lot w/ 30 games! system bundle ps3 summary vat [%] 10% total 09/07/2016 um each each client: gilbert, spencer and anderson psc 7207, box 5750 apo aa 48779 net price net worth vat [%] 85,00 255,00 10% 299,95 1 499,75 10% net worth vat 1754,75 175,48 $1 754,75 $ 175,48 gross worth 280,50 1 649,72 gross worth 1 930,23 $ 1 930,23"
batch1-0507.jpg,"Office Supplies, Technology","seller: abbott, martinez and nunez 700 jennings shoals apt. 008 woodsborough, dc 14098 items no. description qty 1. ryzen gaming computer 3,00 2. dell optiplex 7060 sff 4,00 computer, 8th gen core i5, 8gb ddr4, new 240gb ssd, dvd by custom build hp desktop 2,00 computer 16gb | 2tb | ssd | windows 10 windows 7 pc wifi 4. hp t520 thin client computer 5,00 amd gx-212jc 1.2ghz 4gb ram tested !!read below!! summary vat [%] 10% total 12/19/2016 um eacn eacn eacn eacn client: wilson plc 200 gregory junctions jamesmouth, nv 63642 net price 752,00 202,50 329,00 37,75 net worth 3 912,75 $3 912,75 net worth vat [%] 2 256,00 10% 810,00 10% 658,00 10% 188,75 10% vat 391,28 $ 391,28 gross worth 2 481,60 891,00 723,80 207,63 gross worth 4 304,03 $ 4 304,03"
batch1-0508.jpg,Clothing & Apparel,"seller: adams, hess and davis 225 gonzales crest apt. 419 holmesview, ok 39540 items no. description qty 1. xhilaration womens l burgandy 4,00 boho embroidered festival mini dress new summary vat [%] 10% total um each 04/06/2012 client: johnson ltd 326 gonzalez throughway suite 496 lake johnborough, fl 59208 net price net worth vat [%] 14,95 59,80 10% net worth vat 59,80 5,98 $ 59,80 $ 5,98 gross worth 65,78 gross worth 65,78 $ 65,78"
batch1-0509.jpg,"Footwear & Athletic Wear, Books & Media","seller: king-aguilar 595 hoffman prairie south james, mt 62369 items no. description qty ils the wire in the blood (tony hill 3,00 and carol jordan, book 2) by mcdermid new+- summary vat [%] 10% total 05/11/2021 client: chavez, ortega and hunt 466 laura hills new ruth, ak 68704 um net price net worth vat [%] each ts 45,36 10% net worth vat 45,36 4,54 $ 45,36 $ 4,54 gross worth 49,90 gross worth 49,90 $ 49,90"
